org_name,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
WP_147752526.1,0.172807655,0.314009176,0.608216927,0.800637063,0.853490122,1,0.819630286,0.520778712,0.437262504,0.334399847,0.252977076,0.212748114,0.194055467,0.186621386,0.166835239
WP_109894740.1,0.09914488,0.314873419,0.667503422,0.869077997,0.938006423,1,0.825644149,0.509063754,0.382856001,0.261247793,0.173535116,0.130468805,0.108585545,0.098567641,0.084137281
WP_147026372.1,0.115617,0.351857002,0.692825891,0.8691524,0.898089646,1,0.838031725,0.548581483,0.429340418,0.304165059,0.203451572,0.15544485,0.13084779,0.11812063,0.101232674
WP_042675620.1,0.099076745,0.283242867,0.612085948,0.8288637,0.88937306,1,0.799534151,0.472958098,0.350900825,0.234481634,0.158314567,0.118762982,0.099949363,0.091033461,0.075740502
WP_160532695.1,0.107230244,0.299985384,0.630650259,0.840847915,0.900860863,1,0.796027155,0.489993262,0.362233051,0.250644906,0.166986751,0.125119362,0.105323077,0.094969809,0.082032739
WP_100251418.1,0.079282376,0.263047027,0.598838531,0.809272098,0.881233238,1,0.784418572,0.458787403,0.330342039,0.221669347,0.141750537,0.100381438,0.080604859,0.072558761,0.057833295
WP_020092595.1,0.105929174,0.298867433,0.632669951,0.831245038,0.912460637,1,0.808926754,0.505048117,0.379016509,0.260525524,0.173854342,0.130751437,0.105665725,0.09556136,0.080725219
WP_056526017.1,0.111907342,0.327099963,0.661448557,0.845804691,0.91060123,1,0.827851795,0.530619676,0.404052536,0.277730409,0.186330537,0.139398219,0.113220146,0.09984365,0.084853776
WP_147726351.1,0.130485552,0.310741903,0.638891947,0.840929808,0.908916264,1,0.823508867,0.514712983,0.400430201,0.287864872,0.201958047,0.159054451,0.138696503,0.12617919,0.113235582
WP_135413028.1,0.099813629,0.319942914,0.669227156,0.859431311,0.908438909,1,0.809629636,0.497544652,0.378570141,0.263189332,0.1777824,0.135034306,0.113978854,0.104233017,0.089376421
WP_010683639.1,0.18197513,0.339002832,0.631981054,0.824917971,0.897581181,1,0.817233619,0.525556782,0.42074459,0.316683029,0.243729399,0.206465335,0.188904959,0.18062657,0.17150758
WP_066921034.1,0.134111355,0.343171438,0.668285132,0.862965029,0.911668854,1,0.819621546,0.526960345,0.401261053,0.287669388,0.206663366,0.168058718,0.141914609,0.130922911,0.11684009
WP_238301579.1,0.134992513,0.33495546,0.652853842,0.858580122,0.904265782,1,0.81048776,0.499618235,0.383092099,0.27643649,0.198320783,0.159498637,0.139819632,0.132516242,0.118382134
WP_109952393.1,0.166021515,0.313184807,0.611923729,0.823209357,0.906363705,1,0.805105459,0.5048692,0.380889313,0.291390076,0.219685747,0.190347471,0.173553721,0.171687045,0.159764335
WP_150962736.1,0.166197539,0.353636665,0.668952136,0.866540957,0.964210378,0.990494582,0.811539702,0.528018979,0.416328517,0.31631836,0.241652235,0.205790409,0.187167539,0.182054007,0.164717594
WP_092036464.1,0.116501909,0.288844389,0.6022912,0.80101601,0.873477976,1,0.781514448,0.476789451,0.36611319,0.260689333,0.18209925,0.143912863,0.124790705,0.116827413,0.105467285
WP_007568786.1,0.117843793,0.304285291,0.632214679,0.832672893,0.922616107,1,0.80463845,0.497517018,0.384518319,0.270206714,0.187211569,0.1438667,0.123537728,0.114222314,0.099610691
WP_050734843.1,0.11409745,0.322799064,0.665701632,0.851507845,0.927920126,1,0.842916972,0.545754922,0.426348117,0.298194813,0.197329226,0.149235098,0.122850452,0.108832671,0.090421346
WP_147856287.1,0.127704155,0.31472763,0.644376028,0.844615349,0.903975973,1,0.796442008,0.497332875,0.37410757,0.262926843,0.188637732,0.151426082,0.12978605,0.120841177,0.109479477
WP_091858554.1,0.161070033,0.325064002,0.631257108,0.824665269,0.882699626,1,0.804069217,0.507940194,0.395421082,0.294775082,0.221273813,0.18046859,0.16636609,0.160690038,0.146376201
WP_149310179.1,0.120791269,0.324991859,0.652918654,0.846147906,0.895965245,1,0.814863824,0.515381397,0.395046485,0.271258494,0.189082216,0.143387288,0.120876699,0.108068268,0.094224327
