iterations,js_dist,trial,candidate_id,actual_score,predicted_mean,predicted_sd,algorithm
125,0.026819431540688204,15,thermosipho_melanesiensis,5.523780788,5.237898635956996,0.490188293891176,TreeGazer UCB
126,0.024826834603378877,15,desulfurobacterium_atlanticum,5.798638672,5.248904383332196,0.4699744504105259,TreeGazer UCB
127,0.024422033178618158,15,actinobacillus_pleuropneumoniae,5.590938105,5.261473973528942,0.4704722221590784,TreeGazer UCB
128,0.02281381238987936,15,bacillus_licheniformis,5.265918408,5.25554194633497,0.4665415268394988,TreeGazer UCB
129,0.023852844347383873,15,pseudomonas_entomophila,5.41160158,5.271204629281277,0.4504880698436357,TreeGazer UCB
130,0.023212871465974273,15,falsiroseomonas_stagni,5.443683031,5.287444052048124,0.4718224494065433,TreeGazer UCB
131,0.022503859416738357,15,lactobacillus_delbrueckii,5.617863155,5.298058045100376,0.4337160001310688,TreeGazer UCB
132,0.02148041394246323,15,erwinia_tasmaniensis,5.296639654,5.296615247172851,0.4367097977627178,TreeGazer UCB
133,0.02264662265176825,15,micromonospora_viridifaciens,5.519736375,5.285425498106634,0.4409669719222847,TreeGazer UCB
134,0.02178579747501877,15,aliivibrio_salmonicida,3.864038576,5.327926194518162,0.3820727959169581,TreeGazer UCB
135,0.021313806001228588,15,photobacterium_profundum,4.458361864,5.263567627108625,0.4730818768561581,TreeGazer UCB
136,0.015377129470356535,15,vibrio_cholerae,5.568049479,5.234606288229038,0.4796562855614613,TreeGazer UCB
137,0.01380105194046581,15,geobacillus_kaustophilus,5.502457768,5.338271230857434,0.354466980761263,TreeGazer UCB
138,0.01282899791095511,15,thermotoga_neapolitana,4.726095613,5.354152828260079,0.3592836743579242,TreeGazer UCB
139,0.005401630081176806,15,geobacillus_stearothermophilus,5.483154705,5.425636076918193,0.2797155532395275,TreeGazer UCB
140,0.003094104539057504,15,fervidobacterium_islandicum,5.563044021,5.402019165819842,0.3049236462911091,TreeGazer UCB
1,0.14802850421381605,16,rubrobacter_radiotolerans,5.390019405,4.87558995701734,0.7178854605016902,TreeGazer UCB
2,0.14834518217877785,16,dactylosporangium_aurantiacum,4.380092395,4.866412017195956,0.7113360299834338,TreeGazer UCB
3,0.13626691267531937,16,spirulina_subsalsa,3.394023427,4.9077299734276805,0.6988651255306482,TreeGazer UCB
4,0.12817741776399097,16,synechococcus_elongatus,5.268759789,4.879643373918713,0.7452432664613579,TreeGazer UCB
5,0.11821179529983017,16,pseudobdellovibrio_exovorus,5.554079201,4.894242650064084,0.7338171025400508,TreeGazer UCB
6,0.12238638520334927,16,brachyspira_pilosicoli,5.288961354,4.935630511640922,0.7259926459802131,TreeGazer UCB
7,0.1160761944524088,16,salipiger_mucosus,4.858795807,4.920283240611728,0.7245366537121875,TreeGazer UCB
8,0.11792031170789591,16,prochlorococcus_marinus,3.261762106,4.814950964662203,0.7477000789072012,TreeGazer UCB
9,0.12673922664959744,16,mycoplasmoides_pneumoniae,5.211530543,4.676778532661582,0.7987166440174416,TreeGazer UCB
10,0.11680882978583063,16,mesomycoplasma_hyorhinis,5.37732919,4.814030036630975,0.7810572623199799,TreeGazer UCB
11,0.11695939557547726,16,oenococcus_oeni,4.247022246,4.870819693357902,0.7627185784324874,TreeGazer UCB
12,0.10247401971307622,16,deinococcus_proteolyticus,5.768343295,4.854208251664065,0.7564423782283813,TreeGazer UCB
13,0.10016876217903652,16,patulibacter_medicamentivorans,5.347159212,4.923740103006567,0.7513428723848636,TreeGazer UCB
14,0.09866725837818273,16,alkaliphilus_oremlandii,5.338165158,4.89826088336049,0.7441188611633395,TreeGazer UCB
15,0.0978525570329969,16,mycoplasma_mycoides,5.34736067,4.82169124700046,0.7751122131383865,TreeGazer UCB
16,0.0984355154834511,16,sorangium_cellulosum,4.762499514,4.891002253826105,0.762453544498239,TreeGazer UCB
17,0.10649716061813781,16,thermotoga_neapolitana,4.726095613,5.013699788231178,0.7109703530592287,TreeGazer UCB
18,0.12050135382707203,16,thermomicrobium_roseum,5.198183008,4.811767280637116,0.7663826096388373,TreeGazer UCB
19,0.11303080517721978,16,pyrinomonas_methylaliphatogenes,5.213073696,4.749167976756607,0.7571301634332784,TreeGazer UCB
20,0.10823505415447811,16,chlamydia_trachomatis,5.36870687,4.746470692749752,0.7663566775334769,TreeGazer UCB
21,0.10926355690550722,16,acetomicrobium_flavidum,5.70887816,4.9396363245092125,0.7314000993775873,TreeGazer UCB
22,0.10689279996515517,16,leptospira_interrogans,5.343948329,4.979144891585985,0.7239734855490271,TreeGazer UCB
23,0.10777869876026802,16,mycoplasmopsis_arginini,5.516576932,4.967280887969674,0.7198917886935732,TreeGazer UCB
24,0.1075734541769687,16,anaeromyxobacter_dehalogenans,5.34605488,4.908664172540276,0.7294073348380282,TreeGazer UCB
25,0.10896741563335909,16,bryobacter_aggregatus,5.081068644,4.803233936159499,0.7583873837001333,TreeGazer UCB
26,0.1010724181820299,16,rhodanobacter_fulvus,5.115999521,4.991999986306098,0.7196085812686529,TreeGazer UCB
27,0.09643667237808141,16,syntrophomonas_wolfei,5.75638017,4.960959813719447,0.7279151706413258,TreeGazer UCB
28,0.09608344382183086,16,mesomycoplasma_flocculare,4.884357363,4.758794615528732,0.7562135762900972,TreeGazer UCB
29,0.1018706152461284,16,porphyromonas_macacae,5.927054753,4.926877831598455,0.7333077564021174,TreeGazer UCB
30,0.1053682755561162,16,elusimicrobium_minutum,4.904174524,4.933097084639589,0.7203238302262182,TreeGazer UCB
31,0.11167982347456659,16,prosthecobacter_debontii,3.959312371,4.691634844572925,0.7762156602141314,TreeGazer UCB
32,0.10029756458809876,16,bombiscardovia_coagulans,5.46635599,5.075853100864276,0.6782158046374647,TreeGazer UCB
33,0.0991817319414061,16,lachnospira_multipara,3.412176489,4.678875731298319,0.7548821530125818,TreeGazer UCB
34,0.1117314894718528,16,lactobacillus_crispatus,5.588611937,5.039349244609471,0.6959797709936213,TreeGazer UCB
35,0.10942402836601244,16,capnocytophaga_ochracea,3.925876737,4.672789284220166,0.7815793683855305,TreeGazer UCB
36,0.10432828872158474,16,fibrobacter_intestinalis,5.685238354,4.622280772158026,0.775469567041671,TreeGazer UCB
37,0.10395204778147572,16,bartonella_quintana,4.840001928,4.806209996139093,0.7431655522411584,TreeGazer UCB
